id,name,category,description,image_url,current_stock,cost_price,sale_price,supplier,isactive,brand
17,3-Ply,Paper Roll,"Three-ply paper roll for impact printers, producing multiple copies of receipts for accounting, customer, and merchant use in POS systems.",assets/product_images/3-Ply.png,1,0.00,0.00,,1,Generic
18,Customized Thermal,Paper Roll,"Customized thermal paper roll with pre-printed BIM POS branding, designed for use with thermal receipt printers. Ideal for enhancing brand visibility on customer receipts while maintaining clear, reliable print quality for daily POS operations.",,18,0.00,0.00,,1,Generic
19,TL-SG2210MP,Switch,"10-port Gigabit PoE+ smart network switch with 8 PoE+ RJ45 ports and 2 SFP uplink slots, offering centralized Omada SDN cloud management, advanced Layer 2 features (VLAN, QoS, IGMP snooping), and robust security for small to medium business wired networks.",assets/product_images/TL-SG2210MP.png,8,88.00,180.00,,1,TP-Link
20,W1106A,Toner/Ink,"Compatible black toner cartridge designed as a reliable replacement for HP 106A (W1106A), delivering crisp text and sharp monochrome prints. Offers an approximate yield of 1,000 pages at 5% coverage and is suitable for HP Laser 107, 135, and 137 series printers, ideal for home and small office printing.",assets/product_images/W1106A.png,4,7.00,15.00,,1,Odyssey
21,W1500A,Toner/Ink,"Compatible black toner cartridge designed for HP laser printers, delivering sharp text and clear graphics with consistent, reliable performance. Offers excellent value with dependable page yield, easy installation, and environmentally friendly recycling support, making it suitable for both home and small office printing needs.",assets/product_images/W1500A.png,4,9.00,18.00,,1,Odyssey
22,MS822B,Barcode Scanner,"Wireless barcode scanner supporting 1D and 2D codes with Bluetooth, 2.4 GHz wireless, and USB connectivity. Designed for reliable scanning with long battery life and a durable build for retail and inventory applications.",assets/product_images/MS822B.png,3,0.00,0.00,,1,
23,GS-I1S,All-In-One Touch Pos System,"15.1-inch all-in-one touch POS terminal with Intel Core i7 processor, 8 GB DDR3 RAM, 128 GB SSD storage, and dual screens, designed for reliable performance in retail, restaurant, and hospitality checkout environments.",assets/product_images/GS-I1S.png,4,500.00,1000.00,,1,GSAN
24,GS-T2,All-In-One Touch Pos System,"15-inch desktop POS terminal with Intel i5 processor, 8 GB RAM, 128 GB SSD, and 1024×768 resolution touchscreen, designed for bar, retail, and hospitality environments with customizable configuration options.",assets/product_images/GS-T2.png,8,300.00,600.00,,1,GSAN
25,EA520,Mobile Handheld Computer,"Rugged 5″ handheld mobile computer with integrated 1D/2D barcode scanner, Android OS with GMS certification, octa-core processor, 4 GB RAM/64 GB storage, long-lasting removable battery, and robust connectivity including Bluetooth, Wi-Fi, and 4G LTE. Designed for versatile use in retail, logistics, field service, and inventory management with IP67 dust/water protection and durable drop resistance.",assets/product_images/EA520.png,0,400.00,800.00,,1,Unitech
26,TL-SG1016D,Switch,"Unmanaged 16-port Gigabit Ethernet switch providing reliable plug-and-play connectivity with energy-efficient design, ideal for expanding wired networks in small offices and business environments.",assets/product_images/TL-SG1016D.png,2,49.50,100.00,,1,TP-Link
27,A400 480GB SSD,Solid State Drive,"SATA III 2.5″ internal solid-state drive with 480 GB capacity, offering high reliability, fast read/write performance, and low power consumption. Designed for accelerating system boot, application load times, and overall responsiveness in desktops and laptops.",assets/product_images/A400 480GB SSD.png,1,50.00,100.00,,1,Kingston
28,XP-T80Q,Thermal Receipt Printer,"Thermal receipt printer with LAN and USB interfaces, designed for reliable printing of receipts in retail, hospitality, and POS environments.",assets/product_images/XP-T80Q.png,4,42.00,0.00,,1,Xprinter
29,TL-SG1008D,Switch,"Unmanaged 8-port Gigabit Ethernet network switch with plug-and-play operation, desktop or wall-mountable design, fanless plastic casing, and traffic optimization for reliable wired connectivity in home and small business networks.",,4,16.00,0.00,,1,TP-Link
30,GS-I1S Single,All-In-One Touch Pos System,"15.1-inch all-in-one touch POS terminal with Intel Core i7 processor, 8 GB DDR3 RAM, and 128 GB SSD storage, featuring a single touchscreen display. Designed for reliable performance in retail, restaurant, and hospitality checkout environments.",assets/product_images/GS-I1S Single.png,3,385.00,0.00,,1,GSAN
